Fabricated Timestamp,Temperature,Humidity,ms,Speed_and_mode,Motion Detected (0/1),Mode( Auto=1),Speed
11327741,26,59,8,8,0,1,0
11327711,26,61,8,8,0,1,0
11327681,26,61,8,8,0,1,0
11327651,26,62,8,8,0,1,0
11327621,26,59,8,8,0,1,0
11327591,26,60,8,8,0,1,0
11327561,26,59,8,8,0,1,0
11327531,26,59,8,8,0,1,0
11327501,26,59,8,8,0,1,0
11327471,26,61,8,8,0,1,0
11327441,26,58,8,8,0,1,0
11327411,26,61,8,8,0,1,0
11327381,26,59,8,8,0,1,0
11327351,26,58,8,8,0,1,0
11327321,26,57,8,8,0,1,0
11327291,26,57,8,8,0,1,0
11327261,26,57,8,8,0,1,0
11327231,26,58,9,9,0,1,1
11327201,26,58,10,10,0,1,2
11327171,26,59,138,10,1,1,2
11327141,26,58,138,10,1,1,2
11327111,26,58,8,8,0,1,0
11327081,26,57,8,8,0,1,0
11327051,26,58,8,8,0,1,0
11327021,26,58,8,8,0,1,0
11326991,26,58,8,8,0,1,0
11326961,26,56,8,8,0,1,0
11326931,26,56,8,8,0,1,0
11326901,26,58,8,8,0,1,0
11326871,25,58,8,8,0,1,0
11326841,26,57,9,9,0,1,1
11326811,26,57,10,10,0,1,2
11326781,26,56,138,10,1,1,2
11326751,26,57,9,9,0,1,1
11326721,26,57,10,10,0,1,2
11326691,26,58,138,10,1,1,2
11326661,26,58,138,10,1,1,2
11326631,26,57,138,10,1,1,2
11326601,26,58,9,9,0,1,1
11326571,26,57,10,10,0,1,2
11326541,26,58,138,10,1,1,2
11326511,26,56,10,10,0,1,2
11326481,26,58,138,10,1,1,2
11326451,26,58,138,10,1,1,2
11326421,26,58,138,10,1,1,2
11326391,26,58,138,10,1,1,2
11326361,26,60,138,10,1,1,2
11326331,26,59,138,10,1,1,2
11326301,26,58,8,8,0,1,0
11326271,26,57,8,8,0,1,0
11326241,26,58,8,8,0,1,0
11326211,26,56,8,8,0,1,0
11326181,26,56,8,8,0,1,0
11326151,26,56,8,8,0,1,0
11326121,26,57,8,8,0,1,0
11326091,26,57,8,8,0,1,0
11326061,26,57,9,9,0,1,1
11326031,26,58,10,10,0,1,2
11326001,26,59,138,10,1,1,2
11325971,26,62,11,11,0,1,3
11325941,26,58,138,10,1,1,2
11325911,26,59,8,8,0,1,0
11325881,26,59,8,8,0,1,0
11325851,26,58,8,8,0,1,0
